inventory_id,snapshot_date_id,location_id,product_id,qty_on_hand,reorder_point,holding_cost
1,20240101,1,1,173,23,70.83
2,20240101,1,2,382,68,262.14
3,20240101,1,3,124,32,148.04
4,20240101,1,4,118,32,369.34
5,20240101,1,5,333,46,137.32
6,20240101,1,6,306,58,180.72
7,20240101,1,7,245,50,327.05
8,20240101,1,8,220,62,118.66
9,20240101,1,9,344,92,1054.53
10,20240101,1,10,427,25,2111.7
11,20240101,1,11,27,25,71.65
12,20240101,1,12,136,56,109.82
13,20240101,1,13,294,52,956.73
14,20240101,1,14,381,79,175.26
15,20240101,1,15,340,61,304.91
16,20240101,1,16,190,31,413.31
17,20240101,1,17,191,98,1042.93
18,20240101,1,18,119,40,669.34
19,20240101,1,19,25,49,19.27
20,20240101,1,20,36,87,145.98
21,20240101,1,21,273,53,560.46
22,20240101,1,22,172,100,86.22
23,20240101,1,23,198,50,701.9
24,20240101,1,24,428,68,1694.1
25,20240101,1,25,263,70,417.91
26,20240101,1,26,91,28,106.11
27,20240101,1,27,243,46,82.01
28,20240101,1,28,145,37,198.86
29,20240101,1,29,35,81,184.05
30,20240101,1,30,476,24,1656.46
31,20240101,1,31,84,26,241.71
32,20240101,1,32,175,39,173.48
33,20240101,1,33,265,65,444.16
34,20240101,1,34,2,71,4.19
35,20240101,1,35,341,69,229.65
36,20240101,1,36,184,20,979.75
37,20240101,1,37,500,91,468.86
38,20240101,1,38,420,93,1880.26
39,20240101,1,39,62,70,87.59
40,20240101,1,40,284,75,812.55
41,20240101,1,41,181,42,105.54
42,20240101,1,42,200,89,307.74
43,20240101,1,43,183,39,350.91
44,20240101,1,44,185,30,458.12
45,20240101,1,45,485,25,605.81
46,20240101,1,46,279,57,458.01
47,20240101,1,47,98,99,533.73
48,20240101,1,48,238,22,86.54
49,20240101,1,49,196,60,1077.45
50,20240101,1,50,255,30,504.81
51,20240101,2,1,403,95,82.79
52,20240101,2,2,181,66,268.27
53,20240101,2,3,93,97,147.07
54,20240101,2,4,367,37,571.67
55,20240101,2,5,81,83,11.93
56,20240101,2,6,325,34,580.05
57,20240101,2,7,452,81,831.02
58,20240101,2,8,118,40,54.24
59,20240101,2,9,150,76,256.46
60,20240101,2,10,445,37,640.07
61,20240101,2,11,396,83,828.39
62,20240101,2,12,398,60,818.68
63,20240101,2,13,192,64,746.93
64,20240101,2,14,417,40,302.81
65,20240101,2,15,121,50,67.08
66,20240101,2,16,498,65,2226.1
67,20240101,2,17,322,26,643.38
68,20240101,2,18,85,31,324.37
69,20240101,2,19,176,71,142.17
70,20240101,2,20,321,84,1412.82
71,20240101,2,21,452,38,424.32
72,20240101,2,22,199,34,70.94
73,20240101,2,23,107,47,226.21
74,20240101,2,24,260,66,1355.69
75,20240101,2,25,381,54,390.21
76,20240101,2,26,424,75,1972.9
77,20240101,2,27,94,78,29.23
78,20240101,2,28,18,29,26.09
79,20240101,2,29,181,87,346.89
80,20240101,2,30,233,23,978.47
81,20240101,2,31,195,68,324.28
82,20240101,2,32,157,62,120.15
83,20240101,2,33,38,74,51.78
84,20240101,2,34,453,30,790.23
85,20240101,2,35,164,91,228.28
86,20240101,2,36,388,45,1992.75
87,20240101,2,37,299,32,248.97
88,20240101,2,38,156,98,992.26
89,20240101,2,39,164,83,188.28
90,20240101,2,40,467,89,755.01
91,20240101,2,41,320,68,318.73
92,20240101,2,42,315,51,373.63
93,20240101,2,43,349,83,1461.96
94,20240101,2,44,27,89,160.77
95,20240101,2,45,258,36,328.28
96,20240101,2,46,286,100,771.77
97,20240101,2,47,284,94,558.99
98,20240101,2,48,42,61,15.62
99,20240101,2,49,321,24,950.47
100,20240101,2,50,59,58,230.72
101,20240101,3,1,299,81,36.91
102,20240101,3,2,109,85,187.19
103,20240101,3,3,351,65,918.8
104,20240101,3,4,320,96,1116.4
105,20240101,3,5,253,63,77.14
106,20240101,3,6,218,73,135.97
107,20240101,3,7,110,99,105.28
108,20240101,3,8,299,91,241.88
109,20240101,3,9,200,74,268.95
110,20240101,3,10,468,91,1774.3
111,20240101,3,11,491,26,2014.33
112,20240101,3,12,72,88,50.08
113,20240101,3,13,138,21,562.75
114,20240101,3,14,81,93,68.97
115,20240101,3,15,90,30,19.04
116,20240101,3,16,404,48,465.18
117,20240101,3,17,267,42,869.49
118,20240101,3,18,433,70,2388.62
119,20240101,3,19,218,95,54.8
120,20240101,3,20,96,61,138.54
121,20240101,3,21,374,54,1150.58
122,20240101,3,22,462,29,63.1
123,20240101,3,23,3,29,10.53
124,20240101,3,24,136,74,705.56
125,20240101,3,25,493,61,346.33
126,20240101,3,26,256,40,1193.83
127,20240101,3,27,417,95,123.79
128,20240101,3,28,59,40,24.94
129,20240101,3,29,479,63,2108.09
130,20240101,3,30,301,59,725.7
131,20240101,3,31,367,61,1180.46
132,20240101,3,32,70,32,54.44
133,20240101,3,33,104,46,112.14
134,20240101,3,34,291,69,1040.89
135,20240101,3,35,23,56,30.79
136,20240101,3,36,281,31,873.7
137,20240101,3,37,114,53,243.92
