shipment_line_id,order_line_id,ship_date_id,arrival_date_id,carrier_id,qty_shipped,qty_received,transport_cost,is_on_time,is_perfect_order
1,47545,20260826,20260830,1,12,12,41.55,1,1
2,30148,20260319,20260320,4,369,367,10471.02,1,0
3,864,20250327,20250401,4,9,9,325.98,1,1
4,13064,20260625,20260629,3,18,18,222.95,1,1
5,35034,20260804,20260807,1,321,321,4685.37,1,1
6,4726,20250704,20250705,1,11,7,393.57,1,0
7,2568,20241026,20241031,3,13,13,386.5,1,1
8,35741,20260129,20260131,2,97,97,1935.49,0,0
9,38103,20250102,20250105,1,38,38,598.26,1,1
10,26362,20240610,20240615,4,4,4,54.71,1,1
11,14844,20240609,20240613,4,385,385,6447.92,1,1
12,19918,20250209,20250212,4,46,46,838.39,1,1
13,26958,20260830,20260904,1,108,108,1241.85,1,1
14,45796,20240828,20240901,1,378,378,17491.35,0,0
15,26984,20250202,20250206,3,154,154,4483.97,1,1
16,15842,20240122,20240124,4,11,11,173.74,1,1
17,24493,20261024,20261025,4,47,47,785.41,1,1
18,49967,20240713,20240717,1,311,311,875.05,1,1
19,37162,20240106,20240110,2,32,32,1487.15,1,1
20,44068,20240117,20240120,3,253,253,5970.96,1,1
21,21329,20241031,20241104,1,391,391,3552.35,1,1
22,49325,20260827,20260830,4,23,23,269.43,1,1
23,5609,20251112,20251115,3,29,29,748.35,1,1
24,31648,20250907,20250911,2,12,12,91.86,1,1
25,4135,20260418,20260421,3,223,223,2003.99,1,1
26,27134,20250420,20250425,4,19,19,892.43,1,1
27,22653,20250727,20250729,1,45,45,183.42,1,1
28,7120,20250527,20250529,3,410,410,1030.15,0,0
29,32964,20240613,20240617,3,56,56,1729.53,1,1
30,36062,20251013,20251015,2,15,15,708.12,1,1
31,42987,20260711,20260713,4,31,31,809.59,0,0
32,21716,20240919,20240923,2,22,22,866.04,1,1
33,37008,20241209,20241213,2,1,1,26.33,1,1
34,44668,20260315,20260320,2,306,306,4173.67,1,1
35,5234,20260126,20260127,1,15,15,598.78,1,1
36,38027,20241221,20241224,1,16,16,651.39,1,1
37,17095,20261210,20261212,3,112,112,726.07,1,1
38,6768,20261112,20261117,4,1,1,45.74,0,0
39,42451,20260709,20260714,3,376,376,3070.11,1,1
40,37878,20240617,20240618,3,495,495,22384.15,1,1
41,11916,20260622,20260625,1,354,354,8088.23,1,1
42,12841,20251006,20251008,2,41,41,1497.72,1,1
43,35849,20261101,20261105,1,15,15,502.27,0,0
44,7878,20240505,20240508,4,250,250,10753.74,1,1
45,10696,20260930,20261005,1,147,147,1807.06,1,1
46,28014,20250819,20250822,4,151,151,2572.11,1,1
47,8895,20251014,20251016,3,13,13,625.44,1,1
48,24600,20260318,20260322,4,11,11,220.9,1,1
49,11303,20250401,20250405,1,398,397,5115.04,1,0
50,26025,20260224,20260227,2,16,16,442.49,1,1
51,11447,20250913,20250915,3,20,20,603.42,1,1
52,19533,20241012,20241016,4,383,379,16787.63,1,0
53,31052,20250220,20250224,3,39,39,1826.66,1,1
54,7476,20250120,20250125,1,313,313,11464.0,1,1
55,32420,20240929,20241003,4,342,342,5925.27,1,1
56,2113,20260825,20260829,3,8,8,351.67,1,1
57,6979,20250209,20250214,3,128,128,3481.6,1,1
58,10666,20260609,20260611,2,55,55,1080.87,1,1
59,34156,20240629,20240702,4,2,2,80.07,1,1
60,22455,20241026,20241031,1,3,3,143.46,1,1
61,5606,20261126,20261201,2,1,1,35.5,1,1
62,31068,20250117,20250121,1,39,39,332.03,1,1
63,30938,20260501,20260506,2,132,132,3386.7,1,1
64,150,20251111,20251115,4,38,38,983.33,1,1
65,5622,20250829,20250902,2,17,17,847.39,1,1
66,40065,20240617,20240618,2,9,9,384.7,1,1
67,15673,20261110,20261114,1,190,186,856.75,1,0
68,17442,20250826,20250829,4,4,4,117.27,1,1
69,30987,20261113,20261114,3,24,24,645.39,1,1
70,35611,20241116,20241121,4,119,114,5915.36,1,0
71,4372,20250218,20250221,2,4,4,150.86,1,1
72,49888,20250426,20250430,2,218,218,8287.46,1,1
73,31334,20240725,20240730,2,19,19,575.79,1,1
74,31933,20261129,20261201,3,428,428,17333.78,1,1
75,23652,20250817,20250822,3,25,25,629.48,1,1
76,5161,20240828,20240902,4,478,478,9228.23,1,1
77,6781,20260926,20260929,3,31,31,891.07,1,1
78,49875,20240225,20240227,1,2,2,46.17,1,1
79,39105,20240801,20240806,1,475,475,11236.58,1,1
80,40701,20240301,20240305,2,275,275,13277.91,1,1
81,20597,20240409,20240413,4,227,227,7584.25,1,1
82,4476,20260920,20260921,2,9,9,45.21,1,1
83,23731,20251214,20251218,1,282,282,3742.14,1,1
84,7302,20261230,20270103,1,6,6,285.74,1,1
85,36231,20240726,20240727,1,131,131,2845.06,0,0
86,8163,20250326,20250329,2,30,30,243.07,1,1
87,18391,20241201,20241206,2,157,157,7394.56,1,1
88,46868,20251113,20251117,4,42,42,1900.41,1,1
89,5950,20241216,20241221,2,18,18,107.95,0,0
90,27929,20240114,20240115,1,40,40,546.29,1,1
91,38185,20250712,20250714,4,308,306,7317.6,1,0
92,19477,20240216,20240218,2,34,34,1549.03,1,1
93,43991,20260717,20260721,3,25,25,51.62,1,1
94,8265,20250609,20250614,4,11,11,188.46,1,1
95,28601,20260711,20260716,1,344,344,14577.13,1,1
96,38849,20250101,20250103,2,395,391,3574.62,1,0
97,15017,20240915,20240919,1,190,190,4165.33,1,1
98,23440,20261011,20261013,4,2,2,92.73,1,1
99,13769,20241225,20241229,1,292,292,2680.06,1,1
100,33761,20260818,20260820,1,2,2,60.51,1,1
101,3941,20241123,20241125,2,223,218,11069.44,1,0
102,19548,20260720,20260721,2,266,266,807.29,1,1
103,47729,20260724,20260725,3,36,36,1062.33,1,1
104,19724,20251128,20251129,2,92,92,490.24,1,1
105,33537,20240209,20240213,4,487,487,3848.24,1,1
106,7156,20260705,20260707,3,90,90,273.12,1,1
107,6885,20240513,20240515,4,339,336,3940.9,1,0
108,20455,20250318,20250320,4,2,2,20.29,1,1
109,43238,20260819,20260823,3,6,6,226.89,1,1
110,37426,20240928,20241002,4,337,337,6201.07,0,0
111,25554,20251102,20251104,3,146,146,3247.37,1,1
112,14031,20260820,20260824,1,3,3,107.37,1,1
113,42261,20260111,20260113,3,384,384,10223.41,1,1
114,40599,20260527,20260529,3,449,449,16426.08,1,1
115,45438,20260604,20260605,4,55,55,814.04,0,0
116,36260,20240815,20240818,1,214,214,1518.19,1,1
117,9757,20240701,20240704,3,4,4,17.67,1,1
118,3837,20251019,20251021,3,294,294,13590.64,1,1
119,1530,20260219,20260221,1,240,240,1804.8,1,1
120,3710,20251112,20251115,1,7,7,258.68,1,1
121,41655,20241223,20241226,4,104,104,3336.93,1,1
