order_line_id,order_id,order_date_id,store_loc_id,fc_loc_id,product_id,qty_ordered,qty_allocated,is_stockout
1,ORD-007674,20240603,15,2,441,396,396,0
2,ORD-006512,20260119,11,4,8,9,9,0
3,ORD-007452,20260124,49,3,300,245,245,0
4,ORD-006087,20240809,49,2,242,2,2,0
5,ORD-009199,20251102,45,2,332,82,82,0
6,ORD-007607,20250910,47,4,60,5,0,1
7,ORD-004987,20261005,13,1,121,35,29,1
8,ORD-006079,20260508,43,2,454,262,262,0
9,ORD-013660,20260929,45,4,481,193,94,1
10,ORD-003560,20260627,34,2,438,235,175,1
11,ORD-006019,20260104,9,4,142,13,13,0
12,ORD-013895,20260720,11,2,329,377,377,0
13,ORD-000350,20240413,27,2,65,19,19,0
14,ORD-013596,20250228,43,2,417,495,495,0
15,ORD-012688,20241029,44,1,142,10,10,0
16,ORD-008851,20250528,17,1,339,493,7,1
17,ORD-005870,20250502,43,3,9,6,6,0
18,ORD-002077,20260512,39,1,382,82,82,0
19,ORD-012748,20260111,38,5,56,15,15,0
20,ORD-010078,20240329,52,5,155,30,30,0
21,ORD-000511,20240504,36,4,219,44,28,1
22,ORD-001205,20240614,26,5,76,3,2,1
23,ORD-010373,20251027,30,5,272,200,200,0
24,ORD-009920,20260531,12,1,437,385,385,0
25,ORD-012599,20250316,33,4,455,166,166,0
26,ORD-013557,20260717,31,4,374,98,98,0
27,ORD-005121,20250606,29,2,352,292,43,1
28,ORD-001528,20260603,12,3,416,116,116,0
29,ORD-009609,20251106,48,1,211,23,23,0
30,ORD-012293,20260516,52,1,496,197,197,0
31,ORD-005762,20240731,42,5,109,10,10,0
32,ORD-003675,20240809,28,5,189,8,8,0
33,ORD-009407,20250408,33,5,499,442,442,0
34,ORD-010053,20240223,44,3,15,6,6,0
35,ORD-012492,20250924,27,3,4,6,6,0
36,ORD-009279,20260331,10,2,380,374,374,0
37,ORD-001504,20261222,19,4,215,30,30,0
38,ORD-006063,20250930,52,3,398,340,340,0
39,ORD-014473,20240417,15,2,387,366,41,1
40,ORD-004459,20260626,48,4,249,39,39,0
