reporting_month,store_region,store_name,fc_name,fill_rate_pct,stockout_rate_pct,on_time_delivery_pct,inventory_turnover,avg_lead_time_days,transport_cost_per_unit,perfect_order_pct,days_inventory_on_hand
2024-01,Eastern,Staples Store Mississauga #21,Toronto FC,45.0,75.0,33.33,0.18,6.33,30.02,33.33,165.9
2024-01,Eastern,Staples Store Mississauga #21,Mississauga FC,77.12,40.0,75.0,1.45,3.75,37.23,25.0,20.6
2024-01,Eastern,Staples Store Mississauga #21,Richmond Hill FC,70.61,33.33,100.0,0.23,4.67,24.8,100.0,128.7
2024-01,Eastern,Staples Store Mississauga #21,Calgary FC,100.0,0.0,50.0,1.53,6.0,19.55,50.0,19.6
2024-01,Eastern,Staples Store Mississauga #21,Montreal FC,99.32,14.29,100.0,4.63,5.57,32.56,100.0,6.5
2024-01,Eastern,Staples Store Mississauga #22,Toronto FC,81.75,25.0,50.0,1.31,5.5,15.26,50.0,22.8
2024-01,Eastern,Staples Store Mississauga #22,Mississauga FC,100.0,0.0,100.0,2.89,4.75,33.59,75.0,10.4
2024-01,Eastern,Staples Store Mississauga #22,Richmond Hill FC,72.98,50.0,75.0,3.35,5.25,28.22,75.0,9.0
2024-01,Eastern,Staples Store Mississauga #22,Calgary FC,84.62,20.0,100.0,2.23,4.2,22.25,100.0,13.5
2024-01,Eastern,Staples Store Mississauga #22,Montreal FC,100.0,0.0,50.0,2.03,4.0,41.24,50.0,14.8
2024-01,Eastern,Staples Store Mississauga #23,Toronto FC,91.67,16.67,83.33,4.97,5.33,19.36,83.33,6.0
2024-01,Eastern,Staples Store Mississauga #23,Mississauga FC,100.0,0.0,80.0,2.59,4.6,24.15,80.0,11.6
2024-01,Eastern,Staples Store Mississauga #23,Richmond Hill FC,55.74,50.0,100.0,1.75,5.2,42.41,100.0,17.2
2024-01,Eastern,Staples Store Mississauga #23,Calgary FC,60.38,60.0,75.0,0.21,4.25,23.99,25.0,145.4
2024-01,Eastern,Staples Store Mississauga #23,Montreal FC,94.0,16.67,100.0,3.65,5.2,46.77,100.0,8.2
2024-01,Eastern,Staples Store Mississauga #24,Toronto FC,100.0,0.0,100.0,0.09,5.0,13.68,66.67,346.9
2024-01,Eastern,Staples Store Mississauga #24,Mississauga FC,55.81,50.0,100.0,0.05,4.5,24.81,100.0,610.6
2024-01,Eastern,Staples Store Mississauga #24,Richmond Hill FC,92.06,14.29,100.0,3.02,5.33,29.73,83.33,9.9
2024-01,Eastern,Staples Store Mississauga #24,Calgary FC,95.56,20.0,100.0,0.55,4.0,33.3,100.0,54.9
2024-01,Eastern,Staples Store Mississauga #24,Montreal FC,81.13,50.0,100.0,1.97,6.25,33.7,100.0,15.3
2024-01,Eastern,Staples Store Mississauga #25,Toronto FC,71.48,50.0,100.0,1.23,5.83,37.35,100.0,24.4
2024-01,Eastern,Staples Store Mississauga #25,Mississauga FC,99.55,33.33,66.67,3.76,5.0,28.1,66.67,8.0
2024-01,Eastern,Staples Store Mississauga #25,Richmond Hill FC,100.0,0.0,62.5,1.91,6.13,30.97,62.5,15.7
2024-01,Eastern,Staples Store Mississauga #25,Calgary FC,100.0,0.0,100.0,7.82,4.71,21.04,85.71,3.8
2024-01,Eastern,Staples Store Mississauga #25,Montreal FC,70.63,33.33,,,,,,
2024-01,Eastern,Staples Store Mississauga #26,Toronto FC,100.0,0.0,80.0,1.84,5.6,18.51,80.0,16.3
2024-01,Eastern,Staples Store Mississauga #26,Mississauga FC,100.0,0.0,66.67,2.26,5.67,12.26,66.67,13.3
2024-01,Eastern,Staples Store Mississauga #26,Richmond Hill FC,100.0,0.0,100.0,2.63,5.0,11.54,100.0,11.4
2024-01,Eastern,Staples Store Mississauga #26,Calgary FC,93.33,11.11,100.0,3.92,4.75,23.71,87.5,7.7
2024-01,Eastern,Staples Store Mississauga #26,Montreal FC,91.67,16.67,75.0,2.12,5.5,44.53,75.0,14.1
2024-01,Eastern,Staples Store Mississauga #27,Toronto FC,100.0,0.0,100.0,1.53,3.5,27.86,100.0,19.6
2024-01,Eastern,Staples Store Mississauga #27,Mississauga FC,90.48,33.33,100.0,0.18,4.5,12.85,100.0,166.5
